"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Orbit Intensity","Orbit Intensity","Orbit Intensität","Orbit Intensité","Orbit Intensitet","轨道强度","Intensidad órbita","Orbit Intensity","Orbit Cường","オービット強度","Orbit Intensitet","궤도 강도","ఆర్బిట్ ఇంటెన్సిటీ","ऑर्बिट तीव्रता","المدار كثافة"
"Projected Paths","Projected Paths","Projizierte Pfade","Chemins projetés","Forventede Paths","预计路径","Caminos proyectadas","Прогнозируемые Дорожки","Paths dự kiến","写し出されたパス","prosjekterte Paths","예상 경로","ప్రొజెక్టెడ్ దారులు","अनुमानित पथ","مسارات المتوقع"
"Rays","Rays","Strahlen","Rays","Rays","阳光","rayos","лучи","Rays","レイズ","Rays","레이스","కిరణములు","किरणों","أشعة"
"Long/Latitude Lines","Long/Latitude Lines","Lang / Breite Linien","Lignes Long / Latitude","Long / breddegrader","朗/纬度线","Líneas largas / Latitud","Длинная / Широта Линия","Long / Dòng Latitude","ロング/緯線","Lange / Latitude Lines","긴 / 위도 라인","లాంగ్ / అక్షాంశ లైన్స్","लांग / अक्षांश लाइन्स","خطوط طويلة / خط العرض"
"Velocity Lines","Velocity Lines","Geschwindigkeits-Linien","Lignes de vitesse","Velocity Lines","速度线","Líneas de velocidad","Скоростные линии","Các dòng Velocity","ベロシティライン","Velocity Lines","속도 라인","వెలాసిటీ లైన్స్","वेग लाइन्स","خطوط سرعة"
"Lighting Mode","Lighting Mode","Beleuchtungsmodus","Mode Lighting","Belysning tilstand","照明模式","Modo de iluminación","Режим освещения","Chế độ chiếu sáng","点灯モード","belysning Mode","조명 모드","లైటింగ్ మోడ్","प्रकाश मोड","وضع الإضاءة"
"Light Intensity","Light Intensity","Lichtintensität","Intensité lumineuse","Light Intensity","光强","Intensidad de luz","Интенсивность света","Cường độ sáng","光強度","Lysintensitet","빛의 세기","కాంతి తీవ్రత","प्रकाश की तीव्रता","شدة الضوء"
"Body Colors","Body Colors","Körper Farben","Body Couleurs","organ farver","车身颜色","Colores del cuerpo","Цвета тела","Màu sắc cơ thể","ボディカラー","body Colors","바디 색상","శరీర రంగులు","शारीरिक रंग","ألوان الجسم"
"Habitable Zones","Habitable Zones","Bewohnbaren Zonen","zones habitables","beboelige zoner","宜居带","Las zonas habitables","Жилые зоны","Khu sinh sống","居住ゾーン","beboelige sonen","생물권","నివాస ప్రాంతాలు","रहने योग्य क्षेत्र","مناطق للسكن"
"SPH - Hidden in Build","SPH - Hidden in Build","SPH - in Build Versteckt","SPH - Caché dans Build","SPH - Skjult i Build","SPH  - 隐藏在构建","SPH - Hidden en Build","SPH - Скрытый в Строить","SPH - Ẩn trong xây dựng","SPH  - ビルドに隠されました","SPH - Skjult i Build","SPH - 빌드에 숨겨진","SPH - బిల్డ్ దాక్కున్న","SPH - बिल्ड में छिपा","SPH - مخبأة في البناء"
"SPH Display Mode","SPH Display Mode","SPH Anzeigemodus","Mode d'affichage de SPH","SPH Display Mode","SPH显示模式","Modo de visualización SPH","SPH Режим отображения","SPH Chế độ hiển thị","SPH表示モード","SPH Display Mode","SPH 디스플레이 모드","SPH ప్రదర్శన మోడ్","SPH प्रदर्शन मोड","طريقة العرض SPH"
"SPH Sample Mode","SPH Sample Mode","SPH Sample Mode","Mode échantillon de SPH","SPH Sample tilstand","SPH采样模式","Modo Muestra SPH","Режим Sample SPH","Chế độ mẫu SPH","SPHサンプルモード","SPH Sample Mode","SPH 샘플 모드","SPH నమూనా మోడ్","SPH नमूना मोड","وضع عينة SPH"
"SPH Render Mode","SPH Render Mode","SPH-Rendermodus","SPH Render mode","SPH Render mode","SPH渲染模式","SPH modo de procesado","SPH Рендер режим","SPH Render Chế độ","SPHは、レンダリングモード","SPH Render Mode","SPH는 모드를 렌더링","SPH మోడ్ రెండర్","SPH प्रस्तुत मोड","SPH تجعل الوضع"
"View","View","Ansicht","vue","udsigt","视图","Ver","Посмотреть","Lượt xem","ビュー","Utsikt","전망","చూడండి","राय","رأي"
"Simulation","Simulation","Simulation","simulation","Simulation","模拟","Simulación","моделирование","mô phỏng","シミュレーション","simulering","시뮬레이션","అనుకరణ","सिमुलेशन","محاكاة"
"Help","Help","Hilfe","Aidez-Moi","Hjælp","帮帮我","Ayuda","Помогите","Cứu giúp","助けて","Hjelp","도움","సహాయం","मदद","مساعدة"
"Edit","Edit","Bearbeiten","éditer","edit","编辑","Editar","редактировать","Chỉnh sửa","編集します","Redigere","편집하다","మార్చు","संपादित करें","تصحيح"
"home","home","Zuhause","maison","hjem","家","casa","Главная","nhà","家","hjem","집","హోమ్","घर","الصفحة الرئيسية"
"select","select","wählen","sélectionner","Vælg","选择","seleccionar","Выбрать","lựa chọn","選択","plukke ut","고르다","ఎంచుకోండి","चुनते हैं","تحديد"
"edit","edit","bearbeiten","éditer","edit","编辑","editar","редактировать","chỉnh sửa","編集します","redigere","편집하다","మార్చు","संपादित करें","تصحيح"
"add","add","hinzufügen","ajouter","tilføje","加","añadir","Добавить","thêm vào","加えます","Legg til","더하다","జోడించడానికి","जोड़ना","إضافة"
"powers","powers","kräfte","pouvoirs","beføjelser","权力","potestades","полномочия","quyền hạn","権力","krefter","힘","అధికారాలు","शक्तियों","القوى"
"script","script","skript","scénario","script","脚本","guión","скрипт","kịch bản","スクリプト","manus","스크립트","స్క్రిప్ట్","लिपि","النصي"
"play_pause","play_pause","start_pause","play_pause","play_pause","play_pause","reproducir pausar","play_pause","tạm dừng chơi","play_pause","play_pause","play_pause","play_pause","चालू करे रोके","play_pause"
"sim","sim","sim","sim","sim","SIM卡","sim","сим","sim","シム","sim","심","సిమ్","सिम","سيم"
"view","view","ansicht","vue","udsigt","视图","ver","Посмотреть","lượt xem","ビュー","utsikt","전망","వీక్షణ","राय","رأي"
"chart","chart","chart","graphique","diagram","图表","gráfico","диаграмма","đồ thị","チャート","diagram","차트","చార్ట్","चार्ट","خريطة"
"standard","standard","Standard","standard","standard","标准","estándar","стандарт","Tiêu chuẩn","標準","standard","표준","ప్రామాణిక","मानक","اساسي"
"find","find","finden","trouver","finde","找","encontrar","найти","tìm thấy","見つけます","finne","발견","కనుగొనేందుకు","खोज","تجد"
"help","help","hilfe","aidez-moi","hjælpe","帮帮我","ayuda","Помогите","Cứu giúp","助けて","hjelp","도움","సహాయం","मदद","مساعدة"
"feedback","feedback","feedback","réaction","tilbagemeldinger","反馈","realimentación","Обратная связь","Phản hồi","フィードバック","tilbakemeldinger","피드백","చూడు","प्रतिक्रिया","ردود الفعل"
"profiler","profiler","profiler","profileur","profiler","探查","perfilador","профайлер","Hồ sơ","プロファイラ","profiler","프로파일 러","ప్రొఫైలర్","प्रोफाइलर","التعريف"
"restart","restart","neustart","redémarrage","genstart","重新开始","reiniciar","перезапуск","khởi động lại","再起動","omstart","재시작","పునఃప్రారంభమైన","पुनः आरंभ करें","إعادة بدء"
"Time","Time","Zeit","temps","tid","时间","Hora","Время","Thời gian","時間","Tid","시각","సమయం","पहर","زمن"
"increase","increase","erhöhen","augmenter","øge","增加","incrementar","увеличение","tăng","増加する","øke","증가하다","పెంచు","बढ़ना","زيادة"
"decrease","decrease","verringern","diminuer","falde","减少","disminución","снижение","giảm bớt","減少","avta","감소","తగ్గిస్తాయి","कमी","تخفيض"
"Gravity","Gravity","Schwerkraft","pesanteur","Gravity","重力","Gravedad","Сила тяжести","Nghiêm trọng","重力","Gravity","중량","గ్రావిటీ","गुरुत्वाकर्षण","الجاذبية"
"Tolerance","Tolerance","Toleranz","tolérance","Tolerance","公差","Tolerancia","Толерантность","Lòng khoan dung","トレランス","Toleranse","공차","సహనం","सहनशीलता","تفاوت"
"IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId","IntegratorId"
"IntegrationMode","IntegrationMode","IntegrationsModus","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode","IntegrationMode"
"Compute Device","Compute Device","Compute Geräte","Dispositif Compute","Beregn Device","计算设备","dispositivo de cómputo","Compute Device","Device tính","計算デバイス","Compute Device","계산 장치","కంప్యూట్ పరికర","कंप्यूट डिवाइस","جهاز حساب"
